Rank,Musica,Artista,Lyrics
73,Stargazing,Myles Smith ,"
ooh-ooh, ooh-ooh, ooh-ooh


time stood still just like a photograph
you made me feel like this would last forever
lookin' in your eyes
i see my whole life


oh, oh
they say you know it when you know it, and i know
oh, oh
promise that you'll hold me close, don't let me go (hey)


take my heart, don't break it
love me to my bones
all this time i wasted
you were right there all along
you and i stargazin'
intertwinin' souls
we were never strangers
you were right there all along


i losе my mind
when i'm around you, how i come alive
whеn i'm without you, i can't help but feel so lost
i wanna give you all i've got


oh, oh
they say you know it when you know it, and i know
oh, oh
promise that you'll hold me close, don't let me go (hey!)


take my heart, don't break it
love me to my bones
all this time i wasted
you were right there all along
you and i stargazin'
intertwinin' souls
we were never strangers
you were right there all along


ooh-ooh, ooh-ooh, ooh-ooh
all along
ooh-ooh, ooh-ooh, ooh-ooh


take my heart, don't break it
love me to my bones
all this time i wasted
you were right there all along"
74,Last Christmas,Wham!,"
(happy christmas)
ah, ah-ah
ooh-woah
oh-oh


last christmas, i gave you my heart
but the very next day, you gave it away
this year, to save me from tears
i'll give it to someone special
last christmas, i gave you my heart
but the very next day, you gave it away (you gave it away)
this year, to save me from tears
i'll give it to someone special (special)


once bitten and twice shy
i keep my distance, but you still catch my eye
tell me, baby, do you recognise me?
well, it's been a year, it doesn't surprise me
""happy christmas,"" i wrapped it up and sent it
with a note saying, ""i love you,"" i meant it
now i know what a fool i've been
but if you kissed me now, i know you'd fool me again


last christmas, i gave you my heart
but the very next day, you gave it away (you gave it away)
this year, to save me from tears
i'll give it to someone special (special)
last christmas, i gave you my heart
but the very next day, you gave it away
this year, to save me from tears
i'll give it to someone special (special, oh)
oh, oh, baby


a crowded room, friends with tired eyes
i'm hiding from you and your soul of ice
my god, i thought you were someone to rely on
me? i guess i was a shoulder to cry on
a face-on lover with a fire in his heart
a man undercover, but you tore me apart
ooh-ooh
now i've found a real love, you'll never fool me again


last christmas, i gave you my heart
but the very next day, you gave it away (you gave it away)
this year, to save me from tears
i'll give it to someone special (special)
last christmas, i gave you my heart
but the very next day, you gave it away (you gave me away)
this year, to save me from tears
i'll give it to someone special (special)


a face-on lover with a fire in his heart (i gave you my heart)
a man undercover, but you tore him apart
maybe next year
i'll give it to someone, i'll give it to someone special


special
someone
someone
i'll give it to someone, i'll give it to someone special
who give me something in return
(i'll give it to someone, i'll give it to someone)
hold my heart and watch it burn
i'll give it to someone, i'll give it to someone special
i thought you were here to stay
how could you love me for a day?
i thought you were someone special
i gave you my heart
i'll give it to someone, i'll give it to someone


last christmas, i gave you my heart
you gave it away
i'll give it to someone, i'll give it to someone


la-la
la-la-la-la-la
la-la
la-la-la-la-la
la-la-la-la-la-la-la
la-la-la-la-la-la-la-la
la-la-la
la-la-la-la-la
la-la-la-la-la
la-la-la-la-la-la-la
la-la-la-la-la-la-la-la"
75,I Am Not Okay,Jelly Roll ,"
i am not okay
i'm barely gettin' by
i'm losin' track of days
and losin' sleep at night
i am not okay
i'm hangin' on the rails
so if i say i'm fine
just know i learned to hide it well


i know i can't be the only one
who's holdin' on for dear life
but god knows, i know
when it's all said and done
i'm not okay
but it's all gonna be alright
it's not okay
but we're all gonna be alright


i woke up today
i almost stayed in bed
had the devil on my back
and voices in my head
some days, it ain't all bad
some days, it all gets worse
some days, i swear i'm better off
layin' in that dirt


i know i can't be the only one
who's holdin' on for dear life
but god knows, i know
when it's all said and done
i'm not okay
but it's all gonna be alright
it's not okay
but wе're all gonna be alright
gonna be alright
gonna bе alright


i know one day
we'll see the other side
the pain'll wash away
in a holy water tide
and we all gonna be alright


i know i can't be the only one
who's holdin' on for dear life
but god knows, i know
when it's all said and done
i'm not okay
but it's all gonna be alright
it's not okay
but we're all gonna be alright
i'm not okay
but it's all gonna be alright"
76,Pour Me A Drink,Post Malone feat. Blake Shelton ,"
forty hours got me goin' out my mind
dallas dropped another game in overtime
caught a ticket speedin' down the 65
don't know where i'm goin'


guess i really went and messed it up again
now, my baby's goner than the tulsa wind
judgin' by the stone-sober state i'm in
need to crack one wide open


somebody pour me a drink, somebody bum me a smoke
i'm 'bout to get on a buzz, i'm 'bout to get on a roll
yeah, i've been breakin' my back just keepin' up with the joneses
y'all know what i mean, and y'all know how it goes
when it's up on a friday and i'm paid, slide one over my way
i can't even think when i can hear one callin' my name (hey)


somebody pour me a drink
pour me a drink


bourbon-brown eyes tryna get me drunk
ain't stoppin' 'til the bottle and the job is done
hey, i think i might've found my future love
buddy, you should probably buy her one


somebody pour me a drink, somebody bum me a smoke
i'm 'bout to get on a buzz, i'm 'bout to get on a roll
yeah, i've been breakin' my back just keepin' up with the joneses
y'all know what i mean, yeah, y'all know how it goes
when it's up on a friday and i'm paid, slide one over my way
i can't even think when i can hear one callin' my name (hey)


somebody pour me a drink
somebody pour me a drink


ooh, ooh, ooh


somebody pour me a drink, somebody bum me a smoke
i'm 'bout to get on a buzz, i'm 'bout to get on a roll
yeah, i've been breakin' my back just keepin' up with the joneses
y'all know what i mean, yeah, y'all know how it goes
when it's up on a friday and i'm paid, slide one over my way
i can't even think when i can hear one callin' my name (hey)


somebody pour me a drink
somebody pour me a drink
yeah, somebody pour me a drink


hey
yes, sir
pour me a drink
i'm on it, buddy
pour me a drink"
77,White Horse,Chris Stapleton ,"
this love is getting kinda dangerous
feels like it's a loaded gun
my mind, it's turning like a cloud of dust
my heart always wants to run


oh-oh-oh-oh
if you want a cowboy on a white horse
ridin' off into the sunset
if that's the kinda love you wanna wait for
hold on tight, girl, i ain't there yet
no, i ain't there yet
no, i ain't there yet


white horse


someday, maybe you could have your way
right now's just not the time
some things a man's just got to do
i wish you could change my mind


oh-oh-oh-oh
if you want a cowboy on a white horse
ridin' off into the sunset
if that's the kinda love you wanna wait for
hold on tight, girl, i ain't there yet
no, i ain't there yеt
no, i ain't there yet


whitе horse




if you want a cowboy on a white horse
ridin' off into the sunset
if that's the kinda love you wanna wait for
hold on tight, girl, i ain't there
if you want a cowboy on a white horse
ridin' off into the sunset
if that's the kinda love you wanna wait for
hold on tight, girl, i ain't there yet
no, i ain't there yet
no, i ain't there yet


white horse"
78,Lil Boo Thang,Paul Russell ,"
look, let me tell you (girl)


you my lil' boo thang
so i don't give a hoot what your dude say, girl, i know
you a lil' too tame
i'll be shootin' that shot like 2k, girl, i know
tell 'em i'm, tell 'em i'm next
tell 'em you found a lil' somethin' too fresh, i know
tell 'em i'm, tell 'em i'm next
tell 'em you found a lil' somethin' too fresh, i know


put a lil' gold in the teeth
and the fit good, so i took the doors off the jeep, okay
i see a brother holdin' your seat, no beef
but i'm tryna get to know you at least
don't take my talkin' to you wrong
i can keep it chill like a sauvignon blanc
i'ma keep it real when your man long gone
if you're lookin' for a friend, then you got thе wrong song


baby girl, what's good, what's with ya?
if you booked tonight, that's fiction
i'm outside, no pictures
you want mе, go figure
to the back, to the front
you a ten, baby girl, but i'm the one (hey)
to the back, to the front
you a ten, baby girl, but i'm the one (one)


you my lil' boo thang
so i don't give a hoot what your dude say, girl, i know
you a lil' too tame
i'll be shootin' that shot like 2k, girl, i know
tell 'em i'm, tell 'em i'm next
tell 'em you found a lil' somethin' too fresh, i know
tell 'em i'm, tell 'em i'm next
tell 'em you found a lil' somethin' too fresh, i know


ayy
girl, you got me
i'm singin', it's like
oh-ooh, oh-ooh, you got the best of my love
oh-ooh, oh-ooh, you got the best of my, my
oh-ooh, oh-ooh, you got the best of my love
oh-ooh, oh-ooh, and in that dress i'm like (woah)


you my lil' boo thang (yeah)
so i don't give a hoot what your dude say, girl, i know
you a lil' too tame
i'll be shootin' that shot like 2k, girl, i know
tell 'em i'm, tell 'em i'm next
tell 'em you found a lil' somethin' too fresh, i know
tell 'em i'm, tell 'em i'm next
tell 'em you found a lil' somethin' too fresh, i know"
79,Good Good,Usher feat. Summer Walker & 21 Savage ,"
we ain't good good, but we still good
we ain't good good, but we still good


i hate that we didn't make it to forever
probably ain't gettin' back together
but that don't mean that i can't wish you better
we ain't good good, but we still good
i realize that i can't be your lover
let's just keep it honest with each other
i'll be happy for you when you find another
we ain't good good, but we still good


who knew it'd be like this?
usually my exes turn to enemies
but this is different
'cause we done got closer now that you ain't with me (oh)
all that love that we had
ain't no way we gon' forget that
and your family love me like i'm family
you know where you stand with me
so when they ask, tell 'em


right one, right place, wrong time
can't say we didn't try
but you always been a real one
even though we ain't together
it was real love, and baby, it's still love


i hate that we didn't make it to forever
probably ain't gettin' back together
but that don't mean that i can't wish you better (oh-oh)
we ain't good good, but we still good


all them plans you made for me to be your missus
all the stacks that you done spent on me at lenox
it don't go forgotten, but we're happier apart than locked in (locked in)
no smoke with me, i promise, boy, i don't do drama
it didn't work, but i hope you find another
i wish you peace, i wish you good sex, and good sleep
find the girl of your dreams
'cause i sleep well at night knowin' this ain't meant to be (oh)


right one, right place, wrong time
can't say we didn't try
all good things come to an end
so let's just learn the lessons and find lovin' again


i hate that we didn't make it to forever
probably ain't gettin' back together
but that don't mean that i can't wish you better
we ain't good good, but we still good
i realize that i can't be your lover (lover)
let's just keep it honest with each other (other)
i'll be happy for you when you find another
we ain't good good, but we still good


no matter who you with, i wanna see you happy (on god)
yeah, it didn't work out but that don't mean you should attack me (21, 21)
we enjoy the five-star meals, but you was with me for the zaxby’s (facts)
holdin' me down from the start (21), i used to be broke, i was ashy (21)
i hate we didn't tie the knot, but shit, that's how life go (oh god)
you always would say that i might blow (21)
got rich and i paid for your lipo' (21)
i know the person you is (yeah)
that's why i still wanna be friends (on god)
if you wanna open up a new salon, i still help pay for the wigs (straight up)
and i help with the lease (on god)
you know i ain't never been cheap (21)
relationships don't always last, but let's not turn it to beef (21)
i come through from time to time and have you grabbin' them sheets (21)
that's if you want to, i'm just playin', girl, stop smackin' your teeth (21, 21)


i hate that we didn't make it to forever
probably ain't gettin' back together (you know)
but that don't mean that i can't wish you better (don't mean i can't wish you better)
we ain't good good, but we still good (we still good)
i realize that i can't be your lover (no)
let's just keep it honest with each other
i'll be happy for you when you find another (another)
we ain't good good, but we still good"
80,Act II: Date @ 8,4batz feat. Drake ,"
you want me to pull up?


i'll come and slide by 8 p.m.
and send a text to your dm
five hundred for your fuckin' hair
two hundred for your fuckin' nails
you runnin' out of shoes to wear
so i bought you another pair


girl, i got you another dress
so bring your ass up down them stairs
i buy you shit because you rare
and, plus, because you know i care
bitch, you know you love it here
that's why you keep on comin' near
your nigga can't compete, i swear (nah, for real)
he tried it, now he look too weird, baby


i'll come and slide by 8 p.m.
and send a text to your dm
five hundred for your fuckin' hair
two hundred for your fuckin' nails
you runnin' out of shoes to wear
so i bought you another pair


you runnin' out of shoеs to wear
so i bought you another pair


i'll come and slidе by 8 p.m.
and send a text to your dm
five hundred for your fuckin' hair
two hundred for your fuckin' nails
you runnin' out of shoes to wear
so i bought you another pair"
81,High Road,Koe Wetzel feat. Jessie Murph ,"
i can tell that you're mad
and i ain't half surprised about that
since the day that we met
it's always who cuts first and never who bleeds last
rumors always turn into yelling and fighting
and once it's in your mind, only one way you're driving


i know, i know
i'ma take the high road, maybe get stoned
have a little too much of something terrible
i'ma let you cool down while i walk out
you ain't messing me up like the times before
i don't need a ticket to your shit show
knock yourself out and hit a new low
well, i'ma take the high road, take the high road, take the high road


you don't wanna talk about it, boy, that's no surprisе
you come home smelling likе liquor like every other night
if i catch you with her, you gon' catch me with him
you think i don't hear about it, you better think again
you know that rumors always turn into yelling and fighting
and once it's in my mind, only one way i'm driving


you know, i know
i'ma take the high road, maybe get stoned
have a little too much of something terrible
i'ma let you cool down while i walk out
you ain't messing me up like the times before
i don't need a ticket to your shit show
knock yourself out and hit a new low
well, i'ma take the high road, take the high road, take the high road
whoa, whoa




i'ma take the high road, maybe get stoned
have a little too much of something terrible
i'ma let you cool down while i walk out
you ain't messing me up like the times before
and i don't need a ticket to your shit show
knock yourself out and hit a new low
well i'ma take the high road, take the high road, take the high road
i'ma take the high road, take the high road, take the high road
oh, yeah, yeah, mm"
82,Monaco,Bad Bunny ,"


huh-huh-huh
huh-huh-huh-huh
huh-huh-huh-huh
huh-huh-huh-huh
huh-huh-huh, huh-huh
huh-huh-huh, huh-huh
huh-huh-huh-huh-huh


dime (ey; dime), dime, ¿esto es lo que tú quería'?
yo soy fino (uh), esto es trap de galería
tú eres un charro, rocky ""the kid"", una porquería
yo un campeón, rocky marciano, rocky balboa, rocky maivia
tengo la ruta, tengo la vía, sí, tengo la vía
los gasto de noche, facturo to' el día
tanta plata que, que me gusta que
me chapeen, por eso le meto a toa' estas arpía'
ustedes no saben lo que es estar en altamar con doscientos cuero'
que la azafata te mame el bicho en el cielo (ey, ey)
lo que es tirar quiniento' mil en el putero (ey, ey, ey)
por eso tu opinión me importa cero (duh)
por eso tú estás 101 en el top 100 y yo estoy primero
ya no son rapero', ahora son podcastero'
más que tú está cobrando mi barbero (ey)
chingando y viajando en el mundo entero (ey, ey, ey), ey


bebiendo mucha champaña, nunca estamos seco'
primero llegó verstappen, después llegó checo
si pablo me viera, dirá que soy un berraco
ustede' hablando mierda y yo y los mío' por mónaco
bebiendo mucha champaña, nunca estamos seco'
'tán hablando solo', están hablando con el eco
el signo del dinero, ese e' mi nuevo zodiaco
prende un puro, la familia está en mónaco


hier encore, j'avais vingt ans
je caressais le temps, et jouais de la vie
comme on joue de l'amour, et je vivais la nuit
sans compter sur mes jours, qui fuyaient dans le temps


créeme, los carros de f1 son más rápido' en persona
sofía vergara es linda, pero es más linda en persona (más rica)
lo que tú haga' a mí no me impresiona
es como meter un gol después de messi y maradona
a ti no te conocen ni en tu barrio
ayer estaba con lebron, también con dicaprio
me preguntaron que cómo me fue en los estadio'
hablamos de la familia y temas de millonario'
digo, multimillonario', digo, je, de billonario'
hace rato sin cojone' que me tiene la radio
hace rato me quité del trap, yo se lo dejé a eladio
uy, je, querido diario
hoy me depositaron, a los grammys nominaron
otra vez me criticaron y ninguna me importaron
yo sigo tranquilo, en la mía
don vito, don beno; de los beatle', john lennon
a mis nieto' cuando muera les vo'a dejar cien terreno'
a toa' mis doña' las pompis y los seno'
y a mis hater' un f40 sin los freno'


¿pa' qué? pa' que se estrellen, je, pa' que se maten
rojo o blanco, negro mate, ¿cuál tú quiere'?
¿pa' qué? pa' que se estrellen, pa' que se maten (pa' que se maten)
que en paz descansen, yo sigo en el yate, ey (mmm; ¡ey!)


bebiendo mucha champaña, nunca estamos seco' (¡no!)
primero llegó verstappen, después llegó checo
si pablo me viera, dirá que soy un berraco
ustede' hablando mierda y yo y los mío' por mónaco
bebiendo mucha champaña, nunca estamos seco'
'tán hablando solo', están hablando con el eco
el signo del dinero, ese e' mi nuevo zodiaco
prende un phillie, la familia está en mónaco


hier encore, j'avais vingt ans
je caressais le temps, et jouais de la vie
comme on joue de l'amour, et je vivais la nuit
sans compter sur mes jours, qui fuyaient dans le temps"
83,IDGAF,Drake feat. Yeat ,"
traveling forever in the dark
darkness into blackness
there and back, it's always black
oh-ah, it screeched across the sky
nothing to do but lie
fuck the bitch, i make her sweat, huh, i'ma die by my respect, huh
i put a check up on my neck, life check ya in the head
i signed for a couple milli', you only touched a hundred thou'


man, i don't give a fuck who it is
i called up my twizz' (bnyx)
don't give a fuck what y'all on
man, fuck all of you (all of you)


yeah, i don't be givin' no fucks (not one), uh (just pull up, pull up, woah)
i don't know if you caught on (caught on)
i don't be givin' no fuck (huh)
i say whatever i want, yeah, i do whatever i want, huh
i'm countin' up money for fun
and i'm poppin' these percs just for fun (luh geek)


look, comin' live from the
comin' live from the one after five
comin' live from the three, two time
whole gang fuckin' eastbound and they down just like danny mcbride
why i always see your dawgs in the city?
think you boys left some soldiers behind
just like the jet you boys tried to buy
that ain't gon' fly, nope
i took that one off of the table
october's own, it's a label
i stay with that o like a tire
i stay with that o like a bagel
i stay with that o like a lifesaver
shout' to my ex, i'm her lifesaver
my glocky, it sit on the night table
you light on the waist like a lightsaber
in seattle, it's just me and twizz'
i hate you boys more than i ever did
you rappin' 'bout shit that you never did
my dawg in the can like a metal lid
three the kid, three the kid, three the kid


i don't be givin' no fucks (not one), uh (just pull up, pull up, woah)
i don't know if you caught on (caught on)
i don't be givin' no fuck (huh)
i say whatever i want, yeah, i do whatever i want, huh
i'm countin' up the money for fun
and i'm poppin' these percs just for fun (luh geek)


all of my twizz' got a gun (blam)
couple of my twizz' on the run (phew)
couple of my twizz' sellin' runtz (luh geek)
couple of my twizz' cut 'em up (luh geek)
yeah, couple of my twizz' sell a bunch
heard your money got took like it's lunch (hah)
we on the side and we punt
bitch, i sleep in the day, i'on see sun (uh-huh, yeah)
big body lamb' truck sittin' outside in the sun, it get you caught up, get you fried
you don't really have no swag, so what you did? you look back tryna take mine (woo)
i never needed no help, i never needed nobody, i ain't wait in no line (woo)
gonna be a minute, tell the time
if you did the crime, bitch, why you cryin'?
i just pulled up in a big body, i got a lot of money comin' in
i just got off the phone with my demon and he told me that i'm gon' win
i can't be wasting time on the 'net, i just be running up a fuckin' check
fuck the bitch, i make her sweat, huh, i'ma die 'bout my respect, huh
i put a check up on my neck, life check ya in the head
i signed for a couple milli', you only touched a hundred thou'
ain't nobody steal ya style, ain't nobody want yo' sauce
tell me who the fuck gon' fall off, tell me who gon' make it out?


i don't be givin' no fucks (not one), uh (just pull up, pull up, woah)
i don't know if you caught on (caught on)
i don't be givin' no fuck (huh)
i say whatever i want, yeah, i do whatever i want, huh
i'm countin' up money for fun
and i'm poppin' these percs just for fun (luh geek)"
84,Burn It Down,Parker McCollum ,"
goodbye, strung out on the lawn
the line between us was drawn
all i can see is you're gone and you left me here
with this house on this ground, burn it down


i'll leave my memories inside
in that bed, we loved in all night
every word, every fight
every feelin', stone cold, not a sound


burn it down 'til it's ashes and smoke
burn it down to the smolderin' coals
burn it down 'til i don't want you no more
baby, burn it down


every last song that i wrote
about me and you growing old
every sliver of hope everything i know
pile it up right now


burn it down 'til it's ashes and smoke
burn it down to the smolderin' coals
burn it down 'til i don't want you no more
baby, burn it down


burn it down (burn it, burn it, burn it)
burn it down (burn it, burn it, burn it)


burn it down 'til it's ashes and smoke
burn it down to the smolderin' coals
burn it down 'til i don't want you no more
baby, burn it down (burn it, burn it, burn it)


burn it down (burn it, burn it, burn it)
burn it down (burn it, burn it, burn it)
burn it down (burn it, burn it, burn it)"
85,Fukumean,Gunna ,"
(ooh, dunk rock)


fuck you mean?
young gunna wunna back, callin' me splurge
watch me jump right off the curb
bentley spur fly like a bird
spin on the first and the third
solid, i'm keepin' my word
can't be my equal, i don't know what you heard
crank up the foreign, i swerve
keep me a stick if they purge

ha, ha, ha, ha
ha, ha, ha, ha


fuck you mean?
young gunna wunna, they workin' my nerves
i'm about to pour up some syrup
fucking this bitch like a perv'
smack from the back, grab her perm
ice, the berg, uh, shittin' on all you lil' turds
can't take that dick, wait your turn
in my own lane, we can't merge
suck with no hands, you can learn
let's see how much you can earn
watch me go big likе the worm
and i ain't smokin' no sherm
i'm in this bitch with p liity
qp, qp-ski
all of my bitches is prеtty, they showin' they titties, it's up to the ceilin'
i let her run through a million, i rock with her really, let's fuck on a billion
i'ma get down to the gritty, then fuck up the city, the home of the villains
ecstasy, wonderful feelin'
smoke out the pound when i'm chillin'
trappin', i made me a killin'
look, i got everybody wishin'
i hope you play your position
i don't want nobody listenin'
i see the ho with precision
get rich my only decision


fuck you mean?
young gunna wunna back, callin' me splurge
watch me jump right off the curb
bentley spur fly like a bird
spin on the first and the third
solid, i'm keepin' my word
can't be my equal, i don't know what you heard
crank up the foreign, i swerve
keep me a stick if they purge


fuck you mean?
fuck you mean?
yeah
yeah"
86,Taste,Sabrina Carpenter ,"
oh, i leave quite an impression
five feet to be exact
you're wonderin' why half his clothes went missin'
my body's where they're at


now i'm gone, but you're still layin'
next to me, one degree of separation


i heard you're back together and if that's true
you'll just have to taste me when he's kissin' you
if you want forever, and i bet you do
just know you'll taste me too


uh-huh


he pins you down on the carpet
makes paintings with his tongue (la-la-la-la-la-la-la)
hе's funny now, all his jokes hit different
guеss who he learned that from?


now i'm gone, but you're still layin'
next to me, one degree of separation


i heard you're back together and if that's true
you'll just have to taste me when he's kissin' you
if you want forever, and i bet you do (i bet you do)
just know you'll taste me too


la-la-la-la-la-la-la


every time you close your eyes
and feel his lips, you're feelin' mine
and every time you breathe his air
just know i was already there
you can have him if you like
i've been there, done that once or twice
and singin' 'bout it don't mean i care
yeah, i know i've been known to share


well, i heard you're back together and if that's true
you'll just have to taste me when he's kissin' you
if you want forever, and i bet you do (i bet you do)
just know you'll taste me too


taste me too, ow (la-la-la-la-la-la-la)
you'll just have to taste me when he's kissin' you
you, no, yeah, ah-ah (la-la-la-la-la-la-la)
you'll just have to taste me when he's kissin' you"
87,Where It Ends,Bailey Zimmerman ,"
this is where it ends
i been down a few broken roads that i'm tryin' to mend
but this is where it ends
and i'm breakin' down
you were lyin' when you said that you were tryin' to work things out
but now i'm broken down


went to battle for you always
fought for you on your worst days
then you told me that you don't love me no more


you're the last thing that i thought i'd lose
all i ever wanted was to be loved by you
i let you back in and i gave you a second chance
and like a jet plane on a clear blue sky
sun came shinin' down on all your lies
i got too much pridе to let that happen again
so this is wherе it ends


had to bury all your memories
couldn't see what everybody sees
red flags said i shoulda walked out that door


went to battle for you always
fought for you on your worst days
then you told me that you don't love me no more


you're the last thing that i thought i'd lose
all i ever wanted was to be loved by you
i let you back in and i gave you a second chance
and like a jet plane on a clear blue sky
sun came shinin' down on all your lies
i got too much pride to let that happen again
so this is where it ends, ends, ends
yeah, this is where it ends


you're the best thing that ever happened to me
you showed me what true love shouldn't be
i found myself the second i gave up on us


you're the last thing that i thought i'd lose
all i ever wanted was to be loved by you
i let you back in and i gave you a second chance (second chance)
and like a jet plane on a clear blue sky
sun came shinin' down on all your lies
i got too much pride to let that happen again
so this is where it ends"
88,FTCU,Nicki Minaj ,"
fuck this club up, fuck this, fuck this club up (flocka)
fuck this club up, fuck this, fuck this club up (flocka)
fuck this club up, fuck this, fuck this club up (flocka)
(atl jacob, he a fuckin' millionaire) yeah
fuck this club up, fuck this, fuck this club up (yeah, yeah, yeah, yeah; flocka)
fuck this club up, fuck this, fuck this club up (yeah, yeah, yeah; flocka)
fuck this club up, fuck this, fuck this club up (yeah, yeah, yeah; flocka)
fuck this club up, fuck this, fuck this club up (flocka)


ayo, i tell 'em that i'm the sleeze, they tellin' me, ""okay, prove it""
i leave these bitches on read, so now they know that they blew it
i tell 'em i'm movin' units, my videos, they gon' view it
spotify ain't gotta lie, they really streamin' my music (woo)
i give bitches the crown, thеy fuck around and lose it, nah
i am the wave, i only wavе when i'm tellin' 'em bye
bitch, we ain't twinnin', ain't fraternal or identical
when i'm around, bitch, you know you become invisible


mm, who wanna play with nicki?
got the power, i could tell my niggas, ""spray like 50"" (brr)
come on, bitch, i just put a milli' on my richie
minus like fifty, mine was nine-fifty, sissy


fuck this club up, fuck this, fuck this club up (flocka)
fuck this club up, fuck this, fuck this club up (flocka)
fuck this club up, fuck this, fuck this club up (flocka)
fuck this club up, fuck this, fuck this club up (flocka)


yeah, high heels on my tippies
dolce & gabbana, that's on my titties
cop me vetements when i ride the dickie
i still got the juice, bitch, buy a sippie
i will never slippy like a mickey
stay in your tory lane, bitch, i'm not iggy
i know that these niggas tryna bang like chiddy
i am such a catch, nigga, throw on ya mitty


uh, who wanna play with nicki?
got the power, i could tell my niggas, ""spray like 50""
distribute about a million dollars worth of brickies
told 'em to keep fifty, my cut nine-fifty, bitchy


mm, give me my tens
give me, give me my tens
give me my tens
then take away two, i ate, i win
mm, give me my tens
give me, give me my tens
give me my tens
then take away two, i ate it up again"
89,Wildflower,Billie Eilish ,"
things fall apart
and time breaks your heart
i wasn't there, but i know
she was your girl
you showed her the world
but fell out of love and you both let go


she was cryin’ on my shoulder
all i could do was hold her
only made us closer until july
now, i know that you love me
you don't need to remind me
i should put it all behind me, shouldn't i?


but i see her in the back of my mind all the time
like a fever, like i’m burning alive, like a sign
did i cross the line?
(mm) hmm


well, good things don't last (good things don't last)
and life moves so fast (life moves so fast)
i'd never ask who was better (i'd never ask who was better)
'cause she couldn't be (couldn't)
more different from me (different)
happy and free in leather (happy)


and i know that you love me (you love me)
you don’t need to remind me (remind me)
wanna put it all behind me, but baby


i see her in the back of my mind (back of my mind) all the time (all the time)
feels like a fever (like a fever), like i’m burning alive (burning alive), like a sign
did i cross the line?


you say no one knows you so well (oh)
but every time you touch me, i just wonder how she felt
valentine's day, cryin’ in the hotel
i know you didn't mean to hurt me, so i kept it to myself

and i wonder
do you see her in the back of your mind in my eyes?


you say no one knows you so well
but every time you touch me, i just wonder how she felt
valentine's day, cryin' in the hotel
i know you didn’t mean to hurt me, so i kept it to myself"
90,World On Fire,Nate Smith ,"
girl, when you called it quits
you could have done it right
you coulda left this town out of it
when you said goodbye


you ruined everything i love
ripped my heart right out my chest
girl, it's like there ain't nothing left


you set my world on fire
yeah, it's all long gone
i'm watching flames get higher
and i can't move on
i just gotta let it burn, burn, burn on down
girl, without you it don't turn, turn, turn around
you set my world on fire
you set my world on fire


can't hit that corner bar
can't even ride them roads
don't know my way around this place
i can't see through the smoke


piled up every memory
yeah, you took the good with all the bad
why'd you have to strike that match


and set my world on fire
yeah, it's all long gone
i'm watching flames get higher
and i can't move on
i just gotta let it burn, burn, burn on down
girl, without you it don't turn, turn, turn around
you set my world on fire
you set my world on fire


ain't nothing left for me
in this old nothing town
guess all we'll be is ashes on the ground
so, i watch it burn, burn, burn on down
ain't nothing i can hold on to right now
you set my


you set my world on fire
yeah, it's all long gone
i'm watching flames get higher
and i can't move on
i just gotta let it burn, burn, burn on down
girl, without you it don't turn, turn, turn around
you set my world on fire
you set my world on fire


you set my world on fire
you set my world on fire
you set my world on fire
you set my world on fire"
91,On My Mama,Victoria Monet ,"
when they say, ""she get it from her mama""
i'ma say, ""you fuckin' right""
body rude, it's unpolite
done bein' the humble type
tell me, is you down?
'cause i'm tryna go up tonight
hoes and hoochies left and right


i just wanna live in a fantasy
i think we deserve it, right?
top all the memories
i've ever made in my life
permanent ecstasy (oh)
ladies is pimps tonight
livin' inside a dream (oh)
let's lay where the lovers lie


i put that on my own mama, on my hood
i look fly, i look good
you can't touch my bag, wish you could
i look fly, i look too good
put that on my own mama, on my hood
i look fly, i look good
you can't touch my bag, wish you could
i look fly, i look too good


on my mama (mama), on my hood (hood)
i look fly (yeah), i look good (good)
touch my swag (swag), wish you could (could)
i look fly (yeah), i look good (good, good, good)


i'm so deep in my bag
like a grandma with a peppermint
they say, ""ooh, she smell good""
that's just 'cause i'm heaven-sent
sex game go stupid (ayy)
snappin' like a toothpick (ayy)
man, to tell the truth, your opinion is irrelevant


but i, i know you think i'm fine
might be too fine to hit it from behind
reflection in the mirror don't decline
i can't even lie, lie, lie


i put that on my own mama, on my hood
i look fly, i look good
you can't touch my bag, wish you could
i look fly, i look too good
put that on my own mama, on my hood (on my mama, on my hood, ayy)
i look fly, i look good (i look fly, i look good, ayy, ayy)
you can't touch my bag, wish you could (touch my bag, you wish you could)
i look fly, i look too good


on my mama (mama), on my hood (hood)
i look fly (yeah), i look good (good)
touch my swag (swag), wish you could (could)
i look fly (yeah), i look good (good)
on my mama (mama), on my hood (hood)
mama, on my hood
i look fly (yeah), i look good (good)
i look fly, i look good
touch my swag (swag), wish you could (could)
i know you wish you could
ayy, ayy, i look fly, i look good
i look fly (yeah), i look good (good, good, good)


mama, on my hood
i look fly, i look good
i know you wish you could"
